encoded_feature,feature,importance
SIZE_CLEAN_Large,SIZE_CLEAN,0.37188241467975597
SIZE_CLEAN_Medium,SIZE_CLEAN,0.26722829744776916
AC_MASS_4.0,AC_MASS,0.10415459413758375
DISTANCE_GROUP_0 NM,DISTANCE_GROUP,0.03898745901313903
SPECIES_Unknown bird - medium,SPECIES,0.024491866393088365
PHASE_OF_FLIGHT_Landing Roll,PHASE_OF_FLIGHT,0.02344548686169328
SPECIES_Unknown bird - small,SPECIES,0.015057252796286627
NUM_STRUCK_1,NUM_STRUCK,0.014440223964697187
AC_MASS_3.0,AC_MASS,0.013881143796463513
"ALTITUDE_GROUP_10,000 ft+",ALTITUDE_GROUP,0.00767727611334201
DISTANCE_GROUP_Unknown,DISTANCE_GROUP,0.006654548543346584
"ALTITUDE_GROUP_3,501-10,000 ft",ALTITUDE_GROUP,0.006305625778897167
PHASE_OF_FLIGHT_Climb,PHASE_OF_FLIGHT,0.0061359695192651584
STATE_UT,STATE,0.00569648684350706
INCIDENT_MONTH_4,INCIDENT_MONTH,0.0056187214214221525
AC_MASS_5.0,AC_MASS,0.005238905062137487
SPECIES_Coyote,SPECIES,0.004922568814926426
PHASE_OF_FLIGHT_Approach,PHASE_OF_FLIGHT,0.004402560903146758
SKY_CLEAN_No Cloud,SKY_CLEAN,0.003926217308688087
SPECIES_Barn swallow,SPECIES,0.0039073538837519515
SKY_CLEAN_Unknown,SKY_CLEAN,0.0038133178679424845
INCIDENT_MONTH_11,INCIDENT_MONTH,0.0036190960260536476
SPECIES_Other,SPECIES,0.0034300931843758127
STATE_IL,STATE,0.003168464897995375
SPECIES_Unknown bird,SPECIES,0.0031154552368256577
FAAREGION_FGN,FAAREGION,0.0027316229134931925
STATE_FL,STATE,0.002549566282224629
SPECIES_Unknown bird - large,SPECIES,0.0024494190878888342
FAAREGION_ANM,FAAREGION,0.002417548075747948
FAAREGION_ASO,FAAREGION,0.0023798211485591184
SPECIES_Mourning dove,SPECIES,0.002318151697028927
FAAREGION_AGL,FAAREGION,0.0023161913748536538
NUM_STRUCK_2-10,NUM_STRUCK,0.002241879083982553
SPECIES_American barn owl,SPECIES,0.0021528556834332943
SPECIES_Ring-billed gull,SPECIES,0.0021524998213774318
SPECIES_Gulls,SPECIES,0.002084888685686798
STATE_TN,STATE,0.001974764476846151
TIME_OF_DAY_Dusk,TIME_OF_DAY,0.001914339041999895
DISTANCE_GROUP_0-5 NM,DISTANCE_GROUP,0.0019052582052971607
INCIDENT_MONTH_8,INCIDENT_MONTH,0.001633777001703652
SPECIES_Herring gull,SPECIES,0.0014967484194204023
SKY_CLEAN_Some Cloud,SKY_CLEAN,0.00121359972671777
INCIDENT_MONTH_6,INCIDENT_MONTH,0.001100759346815968
ALTITUDE_GROUP_Unknown,ALTITUDE_GROUP,0.0010540720639896067
STATE_FN,STATE,0.0010195885692036478
NUM_ENGS_2.0,NUM_ENGS,0.0009787924766254527
FAAREGION_AWP,FAAREGION,0.0009689196459317217
SKY_CLEAN_Overcast,SKY_CLEAN,0.0009566649239137275
SPECIES_Pacific golden-plover,SPECIES,0.0009217732943111783
NUM_ENGS_1.0,NUM_ENGS,0.0008844006247407265
TIME_OF_DAY_Night,TIME_OF_DAY,0.0008544766899927387
STATE_SC,STATE,0.0008118882278205287
INCIDENT_MONTH_9,INCIDENT_MONTH,0.0007597372558463312
INCIDENT_MONTH_3,INCIDENT_MONTH,0.0006234933132046662
ALTITUDE_GROUP_0-500 ft,ALTITUDE_GROUP,0.0004789187582244713
SPECIES_Great blue heron,SPECIES,0.00047388701771241263
STATE_CO,STATE,0.0003455291683054587
TYPE_ENG_A,TYPE_ENG,0.00021823981123918006
DISTANCE_GROUP_5-20 NM,DISTANCE_GROUP,0.00012676867803905982
SPECIES_White-tailed deer,SPECIES,0.00012565029966862874
SPECIES_Osprey,SPECIES,0.00012039959263872798
TIME_OF_DAY_Day,TIME_OF_DAY,4.1709019413448744e-05
"ALTITUDE_GROUP_1,501-3,500 ft",ALTITUDE_GROUP,0.0
PHASE_OF_FLIGHT_Descent,PHASE_OF_FLIGHT,0.0
PHASE_OF_FLIGHT_Departure,PHASE_OF_FLIGHT,0.0
INCIDENT_MONTH_2,INCIDENT_MONTH,0.0
INCIDENT_MONTH_12,INCIDENT_MONTH,0.0
INCIDENT_MONTH_10,INCIDENT_MONTH,0.0
INCIDENT_MONTH_1,INCIDENT_MONTH,0.0
SPECIES_Mallard,SPECIES,0.0
SPECIES_Laughing gull,SPECIES,0.0
SPECIES_Killdeer,SPECIES,0.0
SPECIES_Horned lark,SPECIES,0.0
SPECIES_Hermit thrush,SPECIES,0.0
SPECIES_Hawks,SPECIES,0.0
SPECIES_European starling,SPECIES,0.0
SPECIES_Gray catbird,SPECIES,0.0
SPECIES_Dark-eyed junco,SPECIES,0.0
SPECIES_Doves,SPECIES,0.0
SPECIES_Eastern red bat,SPECIES,0.0
SPECIES_Eastern meadowlark,SPECIES,0.0
SPECIES_Chimney swift,SPECIES,0.0
SPECIES_Cliff swallow,SPECIES,0.0
SPECIES_Common nighthawk,SPECIES,0.0
SPECIES_Common yellowthroat,SPECIES,0.0
SPECIES_Bank swallow,SPECIES,0.0
SPECIES_Bald eagle,SPECIES,0.0
SPECIES_American robin,SPECIES,0.0
SPECIES_American pipit,SPECIES,0.0
SPECIES_Cedar waxwing,SPECIES,0.0
SPECIES_Canada goose,SPECIES,0.0
SPECIES_Brazilian free-tailed bat,SPECIES,0.0
SPECIES_Black vulture,SPECIES,0.0
SPECIES_American kestrel,SPECIES,0.0
PHASE_OF_FLIGHT_Taxi,PHASE_OF_FLIGHT,0.0
PHASE_OF_FLIGHT_Other,PHASE_OF_FLIGHT,0.0
PHASE_OF_FLIGHT_Take-off Run,PHASE_OF_FLIGHT,0.0
PHASE_OF_FLIGHT_Local,PHASE_OF_FLIGHT,0.0
"ALTITUDE_GROUP_501-1,500 ft",ALTITUDE_GROUP,0.0
DISTANCE_GROUP_20-50 NM,DISTANCE_GROUP,0.0
DISTANCE_GROUP_Other,DISTANCE_GROUP,0.0
TIME_OF_DAY_Dawn,TIME_OF_DAY,0.0
PHASE_OF_FLIGHT_Arrival,PHASE_OF_FLIGHT,0.0
INCIDENT_MONTH_5,INCIDENT_MONTH,0.0
INCIDENT_MONTH_7,INCIDENT_MONTH,0.0
SPECIES_Vesper bats,SPECIES,0.0
SPECIES_Swainson's thrush,SPECIES,0.0
SPECIES_Turkey vulture,SPECIES,0.0
SPECIES_Tree swallow,SPECIES,0.0
SPECIES_Sparrows,SPECIES,0.0
SPECIES_Savannah sparrow,SPECIES,0.0
NUM_STRUCK_11-100,NUM_STRUCK,0.0
NUM_STRUCK_Other,NUM_STRUCK,0.0
SPECIES_White-throated sparrow,SPECIES,0.0
SIZE_CLEAN_Small,SIZE_CLEAN,0.0
SIZE_CLEAN_Unknown,SIZE_CLEAN,0.0
SPECIES_Yellow-rumped warbler,SPECIES,0.0
SPECIES_White-headed gull complex,SPECIES,0.0
SPECIES_Western sandpiper,SPECIES,0.0
SPECIES_Western meadowlark,SPECIES,0.0
SPECIES_Western cattle egret,SPECIES,0.0
SPECIES_Purple martin,SPECIES,0.0
SPECIES_Swallows,SPECIES,0.0
SPECIES_Red-winged blackbird,SPECIES,0.0
SPECIES_Red-tailed hawk,SPECIES,0.0
SPECIES_Ruby-crowned kinglet,SPECIES,0.0
SPECIES_Rock pigeon,SPECIES,0.0
SPECIES_Red-eyed vireo,SPECIES,0.0
SPECIES_Peregrine falcon,SPECIES,0.0
SPECIES_Perching birds (y),SPECIES,0.0
SPECIES_Northern pintail,SPECIES,0.0
SPECIES_Ovenbird,SPECIES,0.0
SPECIES_Microbats,SPECIES,0.0
FAAREGION_AAL,FAAREGION,0.0
NUM_ENGS_Unknown,NUM_ENGS,0.0
NUM_ENGS_4.0,NUM_ENGS,0.0
NUM_ENGS_3.0,NUM_ENGS,0.0
TYPE_ENG_Other,TYPE_ENG,0.0
TYPE_ENG_Unknown,TYPE_ENG,0.0
TYPE_ENG_D,TYPE_ENG,0.0
TYPE_ENG_F,TYPE_ENG,0.0
TYPE_ENG_C,TYPE_ENG,0.0
AC_MASS_Unknown,AC_MASS,0.0
AC_CLASS_A,AC_CLASS,0.0
AC_CLASS_B,AC_CLASS,0.0
AC_CLASS_Other,AC_CLASS,0.0
AC_CLASS_Unknown,AC_CLASS,0.0
AC_MASS_1.0,AC_MASS,0.0
AC_MASS_2.0,AC_MASS,0.0
STATE_CT,STATE,0.0
STATE_CA,STATE,0.0
STATE_AZ,STATE,0.0
STATE_DC,STATE,0.0
STATE_GA,STATE,0.0
STATE_HI,STATE,0.0
STATE_IA,STATE,0.0
STATE_ID,STATE,0.0
STATE_IN,STATE,0.0
FAAREGION_ASW,FAAREGION,0.0
STATE_AL,STATE,0.0
STATE_AK,STATE,0.0
STATE_AR,STATE,0.0
FAAREGION_ACE,FAAREGION,0.0
FAAREGION_ANE,FAAREGION,0.0
FAAREGION_AEA,FAAREGION,0.0
STATE_MI,STATE,0.0
STATE_ME,STATE,0.0
STATE_MD,STATE,0.0
STATE_MA,STATE,0.0
STATE_LA,STATE,0.0
STATE_KY,STATE,0.0
STATE_KS,STATE,0.0
STATE_MN,STATE,0.0
STATE_NJ,STATE,0.0
STATE_MO,STATE,0.0
STATE_MS,STATE,0.0
STATE_MT,STATE,0.0
STATE_NC,STATE,0.0
STATE_ND,STATE,0.0
STATE_NE,STATE,0.0
STATE_NH,STATE,0.0
STATE_Other,STATE,0.0
STATE_OR,STATE,0.0
STATE_OK,STATE,0.0
STATE_OH,STATE,0.0
STATE_NY,STATE,0.0
STATE_NV,STATE,0.0
STATE_NM,STATE,0.0
STATE_PA,STATE,0.0
STATE_TX,STATE,0.0
STATE_SD,STATE,0.0
STATE_PR,STATE,0.0
STATE_RI,STATE,0.0
STATE_WI,STATE,0.0
STATE_WA,STATE,0.0
STATE_VT,STATE,0.0
STATE_VA,STATE,0.0
