scenario_id,PHASE_OF_FLIGHT,ALTITUDE_GROUP,DISTANCE_GROUP,SPECIES,SIZE_CLEAN,AC_MASS,TYPE_ENG,NUM_ENGS,SKY_CLEAN,Damage_Binary,phase_rate,size_rate,altitude_rate,distance_rate,risk_score,recommendation
CASE-001,Climb,"10,000 ft+",50+ NM,Unknown bird - large,Large,4.0,D,2.0,No Cloud,0,0.133716323296355,0.43758449752140605,0.2191780821917808,0.21739130434782608,0.2849071919231812,Priority inspection recommended
CASE-002,Climb,"10,000 ft+",20-50 NM,Unknown bird - large,Large,4.0,D,2.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.2191780821917808,0.11134453781512606,0.2690001769432762,Priority inspection recommended
CASE-003,Climb,"10,000 ft+",20-50 NM,Unknown bird - large,Large,4.0,D,2.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.2191780821917808,0.11134453781512606,0.2690001769432762,Priority inspection recommended
CASE-004,Climb,"10,000 ft+",20-50 NM,Unknown bird - large,Large,4.0,D,2.0,No Cloud,0,0.133716323296355,0.43758449752140605,0.2191780821917808,0.11134453781512606,0.2690001769432762,Priority inspection recommended
CASE-005,Climb,"10,000 ft+",5-20 NM,Unknown bird - large,Large,4.0,D,2.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.2191780821917808,0.1038784919989151,0.2678802700708446,Priority inspection recommended
CASE-006,Climb,"10,000 ft+",5-20 NM,Turkey vulture,Large,3.0,D,3.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.2191780821917808,0.1038784919989151,0.2678802700708446,Priority inspection recommended
CASE-007,Climb,"10,000 ft+",Unknown,Unknown bird - large,Large,5.0,D,4.0,Unknown,1,0.133716323296355,0.43758449752140605,0.2191780821917808,0.07014276846679081,0.2628199115410259,Priority inspection recommended
CASE-008,Descent,"10,000 ft+",20-50 NM,Unknown bird - large,Large,4.0,D,2.0,No Cloud,1,0.09961190168175937,0.43758449752140605,0.2191780821917808,0.11134453781512606,0.2604740715396273,Priority inspection recommended
CASE-009,Descent,"10,000 ft+",20-50 NM,Unknown bird - large,Large,4.0,D,2.0,Some Cloud,1,0.09961190168175937,0.43758449752140605,0.2191780821917808,0.11134453781512606,0.2604740715396273,Priority inspection recommended
CASE-010,Descent,"10,000 ft+",20-50 NM,Unknown bird - large,Large,4.0,D,2.0,No Cloud,1,0.09961190168175937,0.43758449752140605,0.2191780821917808,0.11134453781512606,0.2604740715396273,Priority inspection recommended
CASE-011,Descent,"10,000 ft+",20-50 NM,Snow goose/Ross's goose complex,Large,4.0,D,2.0,Unknown,1,0.09961190168175937,0.43758449752140605,0.2191780821917808,0.11134453781512606,0.2604740715396273,Priority inspection recommended
CASE-012,Descent,"10,000 ft+",20-50 NM,Unknown bird - large,Large,4.0,D,2.0,Some Cloud,1,0.09961190168175937,0.43758449752140605,0.2191780821917808,0.11134453781512606,0.2604740715396273,Priority inspection recommended
CASE-013,Descent,"10,000 ft+",5-20 NM,Unknown bird - large,Large,4.0,D,2.0,Unknown,1,0.09961190168175937,0.43758449752140605,0.2191780821917808,0.1038784919989151,0.2593541646671957,Priority inspection recommended
CASE-014,Descent,"10,000 ft+",5-20 NM,Unknown bird - large,Large,4.0,D,2.0,Unknown,1,0.09961190168175937,0.43758449752140605,0.2191780821917808,0.1038784919989151,0.2593541646671957,Priority inspection recommended
CASE-015,Descent,"10,000 ft+",5-20 NM,Golden eagle,Large,4.0,D,2.0,Some Cloud,1,0.09961190168175937,0.43758449752140605,0.2191780821917808,0.1038784919989151,0.2593541646671957,Priority inspection recommended
CASE-016,Descent,"10,000 ft+",5-20 NM,Unknown bird - large,Large,4.0,D,2.0,Unknown,0,0.09961190168175937,0.43758449752140605,0.2191780821917808,0.1038784919989151,0.2593541646671957,Priority inspection recommended
CASE-017,Climb,"501-1,500 ft",5-20 NM,Bald eagle,Large,4.0,D,2.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.1038784919989151,0.2484635552927694,Priority inspection recommended
CASE-018,Climb,"501-1,500 ft",5-20 NM,Turkey vulture,Large,1.0,F,1.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.1038784919989151,0.2484635552927694,Priority inspection recommended
CASE-019,Climb,"501-1,500 ft",5-20 NM,Unknown bird - large,Large,4.0,D,2.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.1038784919989151,0.2484635552927694,Priority inspection recommended
CASE-020,Climb,"501-1,500 ft",5-20 NM,Snow goose/Ross's goose complex,Large,4.0,D,2.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.1038784919989151,0.2484635552927694,Priority inspection recommended
CASE-021,Climb,"501-1,500 ft",5-20 NM,Unknown bird - large,Large,1.0,A,1.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.1038784919989151,0.2484635552927694,Priority inspection recommended
CASE-022,Climb,"501-1,500 ft",5-20 NM,Unknown bird - large,Large,3.0,D,2.0,Some Cloud,0,0.133716323296355,0.43758449752140605,0.12209450830140485,0.1038784919989151,0.2484635552927694,Priority inspection recommended
CASE-023,Climb,"501-1,500 ft",0-5 NM,Snow goose,Large,4.0,D,2.0,Overcast,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-024,Climb,"501-1,500 ft",0-5 NM,Turkey vulture,Large,2.0,F,2.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-025,Climb,"501-1,500 ft",0-5 NM,Canada goose,Large,3.0,D,2.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-026,Climb,"501-1,500 ft",0-5 NM,Black vulture,Large,3.0,D,2.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-027,Climb,"501-1,500 ft",0-5 NM,Unknown bird - large,Large,4.0,D,2.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-028,Climb,"501-1,500 ft",0-5 NM,American white pelican,Large,3.0,D,2.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-029,Climb,"501-1,500 ft",0-5 NM,Bald eagle,Large,2.0,D,2.0,Overcast,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-030,Climb,"501-1,500 ft",0-5 NM,Black vulture,Large,2.0,D,2.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-031,Climb,"501-1,500 ft",0-5 NM,Turkey vulture,Large,4.0,D,2.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-032,Climb,"501-1,500 ft",0-5 NM,Black vulture,Large,4.0,D,2.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-033,Climb,"501-1,500 ft",0-5 NM,Turkey vulture,Large,1.0,A,1.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-034,Climb,"501-1,500 ft",0-5 NM,Black vulture,Large,2.0,A,2.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-035,Climb,"501-1,500 ft",0-5 NM,Turkey vulture,Large,4.0,D,2.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
CASE-036,Climb,"501-1,500 ft",0-5 NM,Unknown bird - large,Large,4.0,D,2.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.10380391106348781,0.2484523681524553,Priority inspection recommended
